"URL_INFO","NOM_TITULA","NOMBRE_UNIV","NOMBRE_CENTRO","TIPO_UNIV_CENTRO","PRESENCIALIDAD","IDIOMAEXTRANJERO","PLAZAS","NOTA_CORTE","NOTA_CORTE_ANT","NOTA_ADMISION","RENDIMIENTO","CREDITOS","PRECIO","TASA_AFIL"
"https://www.uva.es/export/sites/uva/2.estudios/2.03.grados/2.02.01.oferta/index.html","Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto","Universidad de Valladolid","Escuela de Ingenierías Industriales (Valladolid)","Pública / Propio","Sí","No",50,10.31,11.09,12.22,84,240,20.45,76.5
"https://www.uva.es/export/sites/uva/2.estudios/2.03.grados/2.02.01.oferta/index.html","Grado en Economía","Universidad de Valladolid","Facultad de Ciencias Económicas y Empresariales (Valladolid)","Pública / Propio","Sí","No",60,5,5,9.79,74,240,13.67,75.7
"http://www.udl.cat/ca/es/estudios/estudios_centros/","Grado en Educación Primaria","Universidad de Lleida","Facultad de Educación, Psicología y Trabajo Social (Lleida)","Pública / Propio","Sí","No",125,5.53,5,9.35,92,240,17.69,NA
"http://valencia.universidadeuropea.es/estudios-universitarios/grados","Grado en Ciencia de Datos","Universidad Europea de Valencia","Escuela de Arquitectura y Politécnica (Valencia)","Privada / Propio","Sí","No",NA,NA,NA,NA,94,240,NA,NA
"http://www.ub.edu/dyn/cms/continguts_es/estudis/oferta_formativa/graus/graus.html","Grado en Odontología","Universidad de Barcelona","Facultad de Medicina y Ciencias de la Salud (Barcelona)","Pública / Propio","Sí","No",120,12.43,12.36,NA,94,300,18.46,NA
"https://www.urv.cat/es/estudios/grados/oferta/todos-los-grados/","Grado en Piloto de Aviación Comercial y Operaciones Aéreas","Universidad Rovira i Virgili","Centro de Estudios Superiores de la Aviación (CESDA) (Tarragona)","Pública / Adscrito**","Sí","No",70,5.53,6.05,8.92,87,240,NA,75.6
"https://www.uca.es/grados/","Grado en Humanidades","Universidad de Cádiz","Facultad de Filosofía y Letras (Cádiz)","Pública / Propio","Sí","No",50,5,5,7.9,78,240,12.62,NA
"http://www.ucjc.edu/estudios-universitarios/grados/oficiales/","Grado en Diseño de Producto / Bachelor in Product Design","Universidad Camilo José Cela","ESNE-Escuela Universitaria de Diseño (Madrid)","Privada / Adscrito**","Sí","No",NA,NA,NA,NA,83,240,NA,NA
"https://www.ujaen.es/estudios/oferta-academica/grados","Grado en Ingeniería Eléctrica","Universidad de Jaén","Escuela Politécnica Superior (Linares) (Jaén)","Pública / Propio","Sí","No",30,5,5,NA,40,240,12.62,NA
"https://www.ujaen.es/estudios/oferta-academica/grados","Grado en Ingeniería Eléctrica","Universidad de Jaén","Escuela Politécnica Superior (Jaén) (Jaén)","Pública / Propio","Sí","No",30,5,5,NA,40,240,12.62,NA
"https://www.ujaen.es/estudios/oferta-academica/grados","Grado en Relaciones Laborales y Recursos Humanos","Universidad de Jaén","Facultad de Ciencias Sociales y Jurídicas (Jaén)","Pública / Propio","Sí","No",30,5,5,7.43,77,240,12.62,78.6
"http://www.nebrija.com/carreras-universitarias/carreras.php","Grado en Educación Infantil","Universidad Antonio de Nebrija","Facultad de Lenguas y Educación (Madrid)","Privada / Propio","Varias modalidades*","Sí*",500,NA,NA,NA,97,240,NA,NA
"http://www.uah.es/estudios/grados/inicio.asp","Grado en Química","Universidad de Alcalá","Facultad de Ciencias (Madrid)","Pública / Propio","Sí","No",90,10.65,10.65,11.1,65,240,20.68,84.4
"http://web.unican.es/estudios/estudios-de-grado","Grado en Historia","Universidad de Cantabria","Facultad de Filosofía y Letras (Cantabria)","Pública / Propio","Sí","No",80,5.31,5.66,9.66,75,240,9.95,51.5
"http://www.udima.es/es/grados.html","Grado en Periodismo","Universidad a Distancia de Madrid","Facultad de Ciencias Sociales y Humanidades (Madrid)","Privada / Propio","No","No",NA,NA,NA,NA,79,240,NA,NA
"https://www.us.es/estudiar/que-estudiar/oferta-de-grados","Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto","Universidad de Sevilla","Escuela Politécnica Superior (Sevilla)","Pública / Propio","Sí","No",104,9.93,9.81,11.57,65,240,12.62,83
"https://www.us.es/estudiar/que-estudiar/oferta-de-grados","Grado en Ingeniería de las Tecnologías de Telecomunicación","Universidad de Sevilla","Escuela Técnica Superior de Ingeniería (Sevilla)","Pública / Propio","Sí","No",130,5.82,6.93,10.44,54,240,12.62,81.1
"https://www.ucv.es/oferta-academica/grados","Grado en Nutrición Humana y Dietética","Universidad Católica de Valencia San Vicente Mártir","Facultad de Medicina y Ciencias de la Salud (Valencia/València)","Privada / Propio","Sí","No",NA,NA,NA,NA,77,240,NA,NA
"https://www.ucv.es/oferta-academica/grados","Grado en Terapia Ocupacional","Universidad Católica de Valencia San Vicente Mártir","Facultad de Psicología (Valencia/València)","Privada / Propio","Sí","No",NA,NA,NA,NA,87,240,NA,NA
"http://www.ub.edu/dyn/cms/continguts_es/estudis/oferta_formativa/graus/graus.html","Grado en Geología","Universidad de Barcelona","Facultad de Ciencias de la Tierra (Barcelona)","Pública / Propio","Sí","No",60,5,5,8.17,76,240,18.46,59.7
"https://www.url.edu/es/estudios/grados","Grado en Enfermería","Universidad Ramon Llull","Facultad de Ciencias de la Salud Blanquerna (Barcelona)","Privada / Propio","Sí","No",130,NA,NA,NA,88,240,NA,NA
"https://web.ua.es/es/grados-oficiales.html","Grado en Trabajo Social","Universidad de Alicante","Facultad de Ciencias Económicas y Empresariales (Alicante)","Pública / Propio","Sí","No",160,7.75,8.28,8.75,93,240,11.84,73.9
"https://www.ull.es/estudios-docencia/grados/#listado-grados","Grado en Logopedia","Universidad de La Laguna","Facultad de Psicología y Logopedia (Santa Cruz de Tenerife)","Pública / Propio","Sí","No",80,6.41,6.22,8.53,89,240,14.59,NA
"https://www.uam.es/uam/grado","Grado en Estudios Hispánicos: Lengua Española y sus Literaturas","Universidad Autónoma de Madrid","Facultad de Filosofía y Letras (Madrid)","Pública / Propio","Sí","No",90,5.41,5.16,8.59,82,240,16.92,64.2
"http://www.uco.es/grados/","Grado en Ciencias Ambientales","Universidad de Córdoba","Facultad de Ciencias (Córdoba)","Pública / Propio","Sí","No",80,5,5,8.29,60,240,12.62,NA
"http://www.uemc.es/grados","Grado en Terapia Ocupacional","Universidad Europea Miguel de Cervantes","Facultad de Ciencias de la Salud (Valladolid)","Privada / Propio","Sí","No",NA,NA,NA,NA,83,240,NA,NA
"http://www.uv.es/uvweb/universidad/es/estudios-grado/oferta-grados/oferta-grados-1285846094474.html","Grado en Sociología","Universitat de València (Estudi General)","Facultad de Ciencias Sociales (Valencia)","Pública / Propio","Sí","No",75,7.62,8.66,9.47,84,240,11.84,61.4
"http://www.umh.es/contenido/Estudios/:Grado/datos_es.html","Grado en Ingeniería Informática en Tecnologías de la Información","Universidad Miguel Hernández de Elche","Escuela Politécnica Superior de Elche (Alicante)","Pública / Propio","Sí","Sí*",50,8.69,8.37,NA,63,240,17.34,NA
"https://www.unav.edu/estudios/grados","Grado en Farmacia","Universidad de Navarra","Facultad de Farmacia y Nutrición (Navarra)","Privada / Propio","Sí","No",NA,NA,NA,NA,88,300,NA,89.5
"https://www.unav.edu/estudios/grados","Grado en Biología","Universidad de Navarra","Facultad de Ciencias (Navarra)","Privada / Propio","Sí","No",NA,NA,NA,NA,83,240,NA,57.5
"https://www.urv.cat/es/estudios/grados/oferta/todos-los-grados/","Grado en Historia del Arte y Arqueología","Universidad Rovira i Virgili","Facultad de Letras (Tarragona)","Pública / Propio","Sí","No",30,5.82,5,9.09,87,240,17.69,NA
"http://www.ucam.edu/estudios/grados","Grado en Comunicación Audiovisual","Universidad Católica San Antonio","Facultad de Ciencias Sociales y de la Comunicación (Murcia)","Privada / Propio","Sí","No",NA,NA,NA,NA,83,240,NA,NA
"https://www.udg.edu/ca/estudia/oferta-formativa/graus","Grado en Pedagogía","Universidad de Girona","Facultad de Educación y Psicología (Girona)","Pública / Propio","Sí","No",60,8,7.8,9.07,96,240,17.69,88.7
"http://www.umh.es/contenido/Estudios/:Grado/datos_es.html","Grado en Podología","Universidad Miguel Hernández de Elche","Facultad de Medicina (Alicante)","Pública / Propio","Sí","No",80,9.74,9.78,9.92,91,240,18,83.6
"http://www.umh.es/contenido/Estudios/:Grado/datos_es.html","Grado en Terapia Ocupacional","Universidad Miguel Hernández de Elche","Facultad de Medicina (Alicante)","Pública / Propio","Sí","No",100,9.13,8.98,NA,90,240,18,78.7
"https://www.comillas.edu/estudios/grados","Grado en Filosofía","Universidad Pontificia Comillas","Facultad de Ciencias Humanas y Sociales (Madrid)","Privada / Propio","Sí","No",NA,NA,NA,NA,95,240,NA,NA
"https://www.usal.es/grados","Grado en Ingeniería Informática","Universidad de Salamanca","Facultad de Ciencias (Salamanca)","Pública / Propio","Sí","No",120,9.22,7.81,10.59,69,240,20.45,88.8
"https://www.usal.es/grados","Grado en Maestro en Educación Infantil","Universidad de Salamanca","Facultad de Educación (Salamanca)","Pública / Propio","Sí","No",75,9.6,8.63,10.22,93,240,14.81,57.5
